Date,LF,LT,WG,WR
25/02/2021 12:00,15.9,2.08333333333333,-9999,-9999
25/02/2021 13:00,18.7166666666667,2.6,-9999,-9999
25/02/2021 14:00,21.0833333333333,2.26666666666667,-9999,-9999
25/02/2021 15:00,20.5333333333333,1.26666666666667,-9999,-9999
25/02/2021 16:00,21.2666666666667,1.28333333333333,-9999,-9999
25/02/2021 17:00,21.8333333333333,0.933333333333333,-9999,-9999
25/02/2021 18:00,22.0333333333333,0.3,-9999,-9999
25/02/2021 19:00,22.7833333333333,-0.433333333333333,-9999,-9999
25/02/2021 20:00,22.1166666666667,-0.266666666666667,-9999,-9999
25/02/2021 21:00,23.9,-0.6,-9999,-9999
25/02/2021 22:00,25.45,-1.16666666666667,-9999,-9999
25/02/2021 23:00,25.1333333333333,-1.25,-9999,-9999
26/02/2021 00:00,25.3333333333333,-1.16666666666667,-9999,-9999
26/02/2021 01:00,25,-1.33333333333333,-9999,-9999
26/02/2021 02:00,24.8166666666667,-1.36666666666667,-9999,-9999
26/02/2021 03:00,25.4,-1.51666666666667,-9999,-9999
26/02/2021 04:00,25.8333333333333,-1.85,-9999,-9999
26/02/2021 05:00,24.6333333333333,-1.91666666666667,-9999,-9999
26/02/2021 06:00,23.65,-1.9,-9999,-9999
26/02/2021 07:00,23.6666666666667,-2,-9999,-9999
26/02/2021 08:00,22.7333333333333,-1.21666666666667,-9999,-9999
26/02/2021 09:00,21.6166666666667,0.5,-9999,-9999
26/02/2021 10:00,21.5333333333333,0.7,-9999,-9999
26/02/2021 11:00,22.0833333333333,1.01666666666667,-9999,-9999
26/02/2021 12:00,21.95,1.45,-9999,-9999
26/02/2021 13:00,26.55,2.45,-9999,-9999
26/02/2021 14:00,27.9666666666667,3,-9999,-9999
26/02/2021 15:00,29.4166666666667,1.88333333333333,-9999,-9999
26/02/2021 16:00,34.7666666666667,0.716666666666667,-9999,-9999
26/02/2021 17:00,34.6333333333333,-0.0666666666666667,-9999,-9999
26/02/2021 18:00,38.6,-1,-9999,-9999
26/02/2021 19:00,35.9666666666667,-2.65,-9999,-9999
26/02/2021 20:00,39.6833333333333,-2.95,-9999,-9999
26/02/2021 21:00,41.1833333333333,-3.38333333333333,-9999,-9999
26/02/2021 22:00,45.45,-4.18333333333333,-9999,-9999
26/02/2021 23:00,47.8,-4.46666666666667,-9999,-9999
27/02/2021 00:00,49.3,-4.53333333333333,-9999,-9999
27/02/2021 01:00,50.6833333333333,-4.8,-9999,-9999
27/02/2021 02:00,50.4833333333333,-4.76666666666667,-9999,-9999
27/02/2021 03:00,60,-6.5,-9999,-9999
27/02/2021 04:00,70.2333333333333,-7.28333333333333,-9999,-9999
27/02/2021 05:00,85.5833333333333,-8.03333333333333,-9999,-9999
27/02/2021 06:00,83.5833333333333,-7.31666666666667,-9999,-9999
27/02/2021 07:00,75.2166666666667,-6.73333333333333,-9999,-9999
27/02/2021 08:00,71.6666666666667,-6.11666666666667,-9999,-9999
27/02/2021 09:00,80.1833333333333,-6.1,-9999,-9999
27/02/2021 10:00,88.3,-6.58333333333333,-9999,-9999
27/02/2021 11:00,84.4666666666667,-5.11666666666667,-9999,-9999
27/02/2021 12:00,96.7833333333333,-5.38333333333333,-9999,-9999
27/02/2021 13:00,87.5,-4.16666666666667,-9999,-9999
27/02/2021 14:00,84.2333333333333,-4.23333333333333,-9999,-9999
27/02/2021 15:00,78.25,-3.91666666666667,-9999,-9999
27/02/2021 16:00,75.4,-3.28333333333333,-9999,-9999
27/02/2021 17:00,77.9833333333333,-5.11666666666667,-9999,-9999
27/02/2021 18:00,82.1333333333333,-6.25,-9999,-9999
27/02/2021 19:00,84.3,-7.68333333333333,-9999,-9999
27/02/2021 20:00,69.0333333333333,-7.8,-9999,-9999
27/02/2021 21:00,51.0666666666667,-7.9,-9999,-9999
27/02/2021 22:00,44.6833333333333,-8.13333333333333,-9999,-9999
27/02/2021 23:00,9.76666666666667,-7.21666666666667,-9999,-9999
28/02/2021 00:00,5.58333333333333,-6.25,-9999,-9999
28/02/2021 01:00,5.66666666666667,-6.51666666666667,-9999,-9999
28/02/2021 02:00,5.36666666666667,-6.23333333333333,-9999,-9999
28/02/2021 03:00,5.48333333333333,-6.56666666666667,-9999,-9999
28/02/2021 04:00,5.11666666666667,-6.8,-9999,-9999
28/02/2021 05:00,5.06666666666667,-6.7,-9999,-9999
28/02/2021 06:00,6,-7.01666666666667,-9999,-9999
28/02/2021 07:00,5.93333333333333,-7.1,-9999,-9999
28/02/2021 08:00,5.71666666666667,-6.21666666666667,-9999,-9999
28/02/2021 09:00,6.35,-5.78333333333333,-9999,-9999
28/02/2021 10:00,7.25,-4.96666666666667,-9999,-9999
28/02/2021 11:00,8.5,-4.85,-9999,-9999
