Date,GS,LF,LT,N,WG,WR
06/07/2022 18:00,189,51.0666666666667,8.78333333333333,0,2.50457311271689,284.805845009243
06/07/2022 19:00,87.5,52.3333333333333,8.66666666666667,0,2.6080141862156,292.976395080945
06/07/2022 20:00,20.1666666666667,60.45,7.55,0,2.80619029527124,296.200275982093
06/07/2022 21:00,0.666666666666667,70.8,6.75,0,1.5640984740272,285.471248923743
06/07/2022 22:00,0,75.5666666666667,6.2,0,0.8143805059833,304.654442917046
06/07/2022 23:00,0,79.75,5.63333333333333,0,0.705211408964818,286.12584436876
07/07/2022 00:00,0,82.7666666666667,5.1,0,1.16108827229014,281.514623365837
07/07/2022 01:00,0,84.3166666666667,4.83333333333333,0,0.872549196164423,72.4112091749905
07/07/2022 02:00,0,86.75,4.45,0,1.09724966399967,78.7418799865433
07/07/2022 03:00,0,87.5166666666667,4.13333333333333,0,1.38676396026216,77.8070498142519
07/07/2022 04:00,0,91.4833333333333,3.63333333333333,0,0.251258795216947,341.944676619681
07/07/2022 05:00,3.16666666666667,79.25,3.83333333333333,0,0.288192739486618,340.279207113337
07/07/2022 06:00,18,79.8,3.71666666666667,0,0.427356457464149,287.291301682922
07/07/2022 07:00,235.333333333333,67.6666666666667,4.93333333333333,0,0.453584315458295,297.59320427635
07/07/2022 08:00,418.833333333333,60.6,5.28333333333333,0,1.31335091072515,287.719865977355
07/07/2022 09:00,557,58.9333333333333,6.08333333333333,0,1.26929513311525,305.691813917462
07/07/2022 10:00,575.833333333333,56.3166666666667,6.71666666666667,0,1.52459224758065,312.69676140733
07/07/2022 11:00,542,56.9,7.16666666666667,0,2.27079346073528,286.046857143447
07/07/2022 12:00,390.166666666667,51.3833333333333,7.6,0,2.91064541672736,296.161221122682
07/07/2022 13:00,541.833333333333,52.9666666666667,7.55,0,3.53735239274078,298.498063252083
07/07/2022 14:00,492.833333333333,64,6.75,0,3.54093183436777,296.891402548811
07/07/2022 15:00,338.166666666667,64.7833333333333,6.71666666666667,0,4.33396382522727,299.111168237849
07/07/2022 16:00,357,72.5166666666667,6.16666666666667,0,4.60043288462573,288.859295102062
07/07/2022 17:00,288,67.05,5.93333333333333,0,5.68749794320724,298.772249801297
07/07/2022 18:00,193.333333333333,68.85,5.11666666666667,0,5.94648844891452,299.77876905392
07/07/2022 19:00,48,69.8166666666667,4.53333333333333,0,5.34967001951988,301.838777643328
07/07/2022 20:00,12,84.9333333333333,3.16666666666667,0,3.5559134748233,293.102993648221
07/07/2022 21:00,1.5,79.8333333333333,2.96666666666667,0,3.26949047493676,282.816308659752
07/07/2022 22:00,0,82.4833333333333,2.73333333333333,0,3.19509132613913,292.046669960773
07/07/2022 23:00,0,83.7,2.56666666666667,0,3.1245905564281,292.962125156387
08/07/2022 00:00,0.166666666666667,87.7833333333333,2.3,0,2.18089740014186,278.264443730299
08/07/2022 01:00,0.333333333333333,97.9833333333333,1.63333333333333,0,3.56631288537569,87.7679188883544
08/07/2022 02:00,1.33333333333333,99.5833333333333,1.23333333333333,0.1,2.81562672885768,89.454934791596
08/07/2022 03:00,0,99.5833333333333,1.11666666666667,0,2.48553062218424,85.4900751960331
08/07/2022 04:00,0,97.6833333333333,0.816666666666667,0,3.62305489249096,270.339705427152
08/07/2022 05:00,3.16666666666667,84.2833333333333,1.08333333333333,0,2.35422985420755,285.883078452528
08/07/2022 06:00,34.3333333333333,85.9166666666667,0.783333333333333,0,4.71816079016803,271.361612196593
08/07/2022 07:00,81.6666666666667,87.5166666666667,0.416666666666667,0,4.35154296490886,75.1438274153358
08/07/2022 08:00,215.666666666667,83.9,0.833333333333333,0,2.70375302902158,275.27835267179
08/07/2022 09:00,562.833333333333,79.85,1.5,0,2.998742427193,293.009177432131
08/07/2022 10:00,704,61.55,2.93333333333333,0,2.17264550620532,294.205477325784
08/07/2022 11:00,795.666666666667,46.6333333333333,4.08333333333333,0,1.78368159345189,308.636341200045
08/07/2022 12:00,849.833333333333,46.6666666666667,4.91666666666667,0,2.62853477326385,307.016412974461
08/07/2022 13:00,863.833333333333,46.1,5.81666666666667,0,2.8398069684075,292.170784347701
08/07/2022 14:00,835.166666666667,41.7666666666667,6.85,0,3.43891907978361,292.915753311995
08/07/2022 15:00,766.333333333333,34.7333333333333,7.65,0,3.86499465603789,291.676786802012
08/07/2022 16:00,664.833333333333,31.1166666666667,8.23333333333333,0,4.39300808822956,292.915254914317
08/07/2022 17:00,536.666666666667,29.2666666666667,8.35,0,4.87646839642666,289.947608230469
08/07/2022 18:00,391.666666666667,32.0666666666667,8,0,4.91531765378804,291.650324874655
08/07/2022 19:00,227.5,34.6666666666667,7.68333333333333,0,4.08899255646179,291.721937988728
08/07/2022 20:00,92.8333333333333,36.2166666666667,6.96666666666667,0,3.07521406930024,286.237920422822
08/07/2022 21:00,3.66666666666667,37.9,5.81666666666667,0,1.58065882063782,284.14028408762
08/07/2022 22:00,0,40.3666666666667,5.08333333333333,0,1.31638223743992,287.887737069798
08/07/2022 23:00,0,42.1666666666667,4.63333333333333,0,1.56424720394524,271.766390558603
09/07/2022 00:00,0,44.7,4.33333333333333,0,0.363825596347369,53.576308762808
09/07/2022 01:00,0,47.7666666666667,3.91666666666667,0,1.3170724492037,281.283161538418
09/07/2022 02:00,0,49.65,3.7,0,0.869614854050482,36.7284214743024
09/07/2022 03:00,0,51.3833333333333,3.51666666666667,0,0.731837966581814,34.2751305567262
09/07/2022 04:00,0,49.3666666666667,3.53333333333333,0,0.889136583287005,79.3969676642147
09/07/2022 05:00,2.66666666666667,51.2666666666667,3.01666666666667,0,0.257937800137772,19.6083984285041
09/07/2022 06:00,16.6666666666667,48.8,2.95,0,0.318391749076201,354.651756905401
09/07/2022 07:00,240,48.3,3.46666666666667,0,0.441567056563223,42.0855203488859
09/07/2022 08:00,431.666666666667,49.4833333333333,4.01666666666667,0,1.3276486213821,284.711767439065
09/07/2022 09:00,575,48.6,4.61666666666667,0,1.51674341737247,297.10666804301
09/07/2022 10:00,692.666666666667,40.3166666666667,5.6,0,1.22299310670038,319.312154256549
09/07/2022 11:00,779.166666666667,43.6166666666667,6.43333333333333,0,1.92176134322655,312.415834036545
09/07/2022 12:00,841,43.2833333333333,7.16666666666667,0,2.40477894035313,295.065634325314
